epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
83,6133.08,0.23825,0.32434,0.153,0.90434,0.98579,0.98196,0.99383,0.96058,0.9839,0.99242,0.99415,0.96072,0.28243,0.28092,0.2095,0.71963,8.70577e-05,8.70577e-05,8.70577e-05
84,6206.51,0.2327,0.31885,0.14864,0.90306,0.9873,0.98185,0.99384,0.95999,0.98329,0.99519,0.99414,0.96047,0.28368,0.28149,0.20973,0.72107,7.89327e-05,7.89327e-05,7.89327e-05
85,6279.76,0.23789,0.32622,0.15233,0.90674,0.98818,0.98136,0.99376,0.95956,0.98392,0.9933,0.99413,0.96045,0.28561,0.28144,0.21144,0.72317,7.12282e-05,7.12282e-05,7.12282e-05
86,6354,0.2323,0.31905,0.14822,0.90264,0.98671,0.98201,0.99379,0.96041,0.98275,0.99345,0.9941,0.96044,0.28603,0.2806,0.21343,0.72364,6.39518e-05,6.39518e-05,6.39518e-05
87,6427.55,0.23583,0.32027,0.14763,0.90417,0.9867,0.9818,0.99364,0.9606,0.98373,0.99339,0.994,0.96049,0.2852,0.28062,0.21342,0.72213,5.71106e-05,5.71106e-05,5.71106e-05
88,6501.09,0.23692,0.32633,0.1511,0.90408,0.98611,0.98199,0.99377,0.96055,0.98392,0.9936,0.99412,0.96086,0.28387,0.28065,0.21258,0.72053,5.07115e-05,5.07115e-05,5.07115e-05
89,6574.71,0.2328,0.31703,0.14762,0.90416,0.98671,0.98234,0.99382,0.9604,0.98393,0.99391,0.99413,0.96078,0.28352,0.28082,0.21195,0.72002,4.47606e-05,4.47606e-05,4.47606e-05
90,6648.16,0.23306,0.32308,0.14679,0.90165,0.98686,0.98136,0.99381,0.96039,0.98381,0.99459,0.99414,0.96083,0.28314,0.2809,0.21135,0.71981,3.9264e-05,3.9264e-05,3.9264e-05
91,6725.64,0.19666,0.26171,0.15088,0.89951,0.9867,0.98145,0.99378,0.96034,0.9831,0.99459,0.99412,0.96159,0.28228,0.28123,0.21045,0.71836,3.4227e-05,3.4227e-05,3.4227e-05
92,6799.14,0.19032,0.25595,0.12873,0.89738,0.98636,0.98136,0.99379,0.96117,0.98379,0.99399,0.99415,0.9616,0.28161,0.28237,0.20902,0.71763,2.96546e-05,2.96546e-05,2.96546e-05
93,6873.88,0.18503,0.25332,0.12698,0.89072,0.98662,0.98136,0.99379,0.96258,0.98392,0.99346,0.99416,0.96199,0.28061,0.28257,0.20777,0.71663,2.55513e-05,2.55513e-05,2.55513e-05
94,6947.64,0.18477,0.25158,0.12478,0.89275,0.98713,0.98136,0.9938,0.96326,0.98392,0.99329,0.99418,0.96267,0.28025,0.28273,0.20765,0.71642,2.19212e-05,2.19212e-05,2.19212e-05
95,7021.29,0.18394,0.25302,0.12464,0.89443,0.98729,0.98098,0.99375,0.96243,0.98367,0.99278,0.99416,0.96286,0.28012,0.28285,0.20715,0.71629,1.87678e-05,1.87678e-05,1.87678e-05
96,7094.9,0.18336,0.25012,0.12431,0.89295,0.97914,0.98798,0.99379,0.96243,0.98332,0.99258,0.99419,0.96281,0.27977,0.28296,0.20673,0.71582,1.60943e-05,1.60943e-05,1.60943e-05
97,7168.34,0.1835,0.25309,0.12326,0.89282,0.98728,0.9798,0.99381,0.96334,0.98389,0.99165,0.99419,0.96331,0.2795,0.28308,0.20648,0.71562,1.39032e-05,1.39032e-05,1.39032e-05
98,7242.49,0.17966,0.24927,0.12129,0.88783,0.9861,0.9815,0.99379,0.9632,0.98388,0.99113,0.9942,0.96356,0.27928,0.28317,0.20646,0.71528,1.21968e-05,1.21968e-05,1.21968e-05
99,7316.33,0.17916,0.24959,0.12107,0.88988,0.98627,0.98016,0.99381,0.96319,0.98387,0.99054,0.99421,0.96377,0.27903,0.28323,0.20623,0.71507,1.09768e-05,1.09768e-05,1.09768e-05
100,7390.51,0.18075,0.24956,0.12087,0.8888,0.98668,0.98,0.99382,0.96316,0.98386,0.98989,0.9942,0.96345,0.27885,0.28329,0.20618,0.71486,1.02443e-05,1.02443e-05,1.02443e-05
